id	speaker	headline	URL	description	transcript_URL	month_filmed	year_filmed	event	duration	date_published	tags
1	Al Gore	Averting the climate crisis	http://www.ted.com/talks/view/id/1	"With the same humor and humanity he exuded in ""An Inconvenient Truth,"" Al Gore spells out 15 ways that individuals can address climate change immediately, from buying a hybrid to inventing a new, hotter brand name for global warming."	http://www.ted.com/talks/view/id/1/transcript?language=en	2	2006	TED2006	0:16:17	6/27/06	"cars,alternative energy,culture,politics,science,climate change,environment,sustainability,global issues,technology"
2	Amy Smith	Simple designs to save a life	http://www.ted.com/talks/view/id/2	Fumes from indoor cooking fires kill more than 2 million children a year in the developing world. MIT engineer Amy Smith details an exciting but simple solution: a tool for turning farm waste into clean-burning charcoal.	http://www.ted.com/talks/view/id/2/transcript?language=en	2	2006	TED2006	0:15:06	8/15/06	"MacArthur grant,simplicity,industrial design,alternative energy,invention,engineering,design,global issues"
3	Ashraf Ghani	How to rebuild a broken state	http://www.ted.com/talks/view/id/3	"Ashraf Ghani's passionate and powerful 10-minute talk, emphasizing the necessity of both economic investment and design ingenuity to rebuild broken states, is followed by a conversation with TED curator Chris Anderson on the future of Afghanistan."	http://www.ted.com/talks/view/id/3/transcript?language=en	7	2005	TEDGlobal 2005	0:18:45	10/18/06	"corruption,poverty,economics,investment,military,culture,politics,policy,global development,entrepreneur,global issues,business"
4	Burt Rutan	The real future of space exploration	http://www.ted.com/talks/view/id/4	"In this passionate talk, legendary spacecraft designer Burt Rutan lambasts the US government-funded space program for stagnating and asks entrepreneurs to pick up where NASA has left off."	http://www.ted.com/talks/view/id/4/transcript?language=en	2	2006	TED2006	0:19:37	10/25/06	"aircraft,flight,industrial design,NASA,rocket science,invention,engineering,entrepreneur,design,business"
5	Chris Bangle	Great cars are great art	http://www.ted.com/talks/view/id/5	"American designer Chris Bangle explains his philosophy that car design is an art form in its own right, with an entertaining -- and ultimately moving -- account of the BMW Group's Deep Blue project, intended to create the SUV of the future."	http://www.ted.com/talks/view/id/5/transcript?language=en	2	2002	TED2002	0:20:04	4/5/07	"cars,industrial design,transportation,invention,design,technology,business,art"
6	Craig Venter	Sampling the ocean's DNA	http://www.ted.com/talks/view/id/6	Genomics pioneer Craig Venter takes a break from his epic round-the-world expedition to talk about the millions of genes his team has discovered so far in its quest to map the ocean's biodiversity.	http://www.ted.com/talks/view/id/6/transcript?language=en	7	2005	TEDGlobal 2005	0:16:51	4/5/07	"biotech,invention,oceans,genetics,DNA,biology,science,entrepreneur,biodiversity,ecology,technology"
7	David Pogue	Simplicity sells	http://www.ted.com/talks/view/id/7	"New York Times columnist David Pogue takes aim at technologyâ€™s worst interface-design offenders, and provides encouraging examples of products that get it right. To funny things up, he bursts into song."	http://www.ted.com/talks/view/id/7/transcript?language=en	2	2006	TED2006	0:21:26	6/27/06	"simplicity,computers,software,interface design,music,media,entertainment,performance,technology"
8	David Rockwell	A memorial at Ground Zero	http://www.ted.com/talks/view/id/8	"In this emotionally charged conversation with journalist Kurt Andersen, designer David Rockwell discusses the process of building a viewing platform at Ground Zero shortly after 9/11."	http://www.ted.com/talks/view/id/8/transcript?language=en	2	2002	TED2002	0:24:37	6/12/07	"New York,memory,interview,death,culture,architecture,disaster relief,cities,urban planning,design,collaboration"
9	Dean Kamen	To invent is to give	http://www.ted.com/talks/view/id/9	Inventor Dean Kamen lays out his argument for the Segway and offers a peek into his next big ideas (portable energy and water purification for developing countries).	http://www.ted.com/talks/view/id/9/transcript?language=en	2	2002	TED2002	0:20:07	4/5/07	"robots,cars,industrial design,transportation,invention,education,innovation,social change,science,sustainability,technology,business"
10	Dean Ornish	The killer American diet that's sweeping the planet	http://www.ted.com/talks/view/id/10	Forget the latest disease in the news: Cardiovascular disease kills more people than everything else combined -- and itâ€™s mostly preventable. Dr. Dean Ornish explains how changing our eating habits can save lives.	http://www.ted.com/talks/view/id/10/transcript?language=en	2	2006	TED2006	0:03:18	12/14/06	"obesity,disease,health,health care,culture,food,science,global issues"
